"digits","digits 2","digits 3","digits 4","backToTopVisible href 2","product-image src","title","price","badge","badge 2","price 2"
"00","19","12","59","https://www.hepsiburada.com/hp-pavilion-gaming-15-dk2083nt-68n58ea-intel-core-i7-11370h-8gb-512ssd-gtx1650-15-6-fhd-freedos-tasinabilir-bilgisayar-p-HBCV000023KV75?magaza=MTB%C4%B0L%C4%B0S%C4%B0M","https://productimages.hepsiburada.net/s/208/135/110000184404051.jpg","Hp Pavilion Gaming 15 DK2083NT 68N58EA Intel Core I7 11370H 8gb 512SSD GTX1650 15.6"" Fhd Freedos Taşınabilir Bilgisayar","20.399,00 TL","","",""
"05","15","08","59","https://www.hepsiburada.com/asus-rog-strix-g513ic-hn037-amd-ryzen-7-4800h-16gb-512gb-ssd-rtx3050-freedos-15-6-tasinabilir-bilgisayar-p-HBCV00001E2066?magaza=T-GEX","https://productimages.hepsiburada.net/s/205/135/110000180001405.jpg","Asus ROG Strix G513IC-HN037 AMD Ryzen 7 4800H 16GB 512GB SSD RTX3050 Freedos 15.6"" Taşınabilir Bilgisayar","20.799,00 TL","","",""
"06","19","12","59","https://www.hepsiburada.com/lenovo-thinkbook-15-g2-intel-core-i5-1135g7-16gb-256gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-20ve00fqtx-p-HBCV00000Y0QV1?magaza=Vizyon%20Bilgisayar","https://productimages.hepsiburada.net/s/303/135/110000294955110.jpg","Lenovo ThinkBook 15 G2 Intel Core i5 1135G7 16GB 256GB SSD Freedos 15.6"" FHD Taşınabilir Bilgisayar 20VE00FQTX","13.882,50 TL","%","1","13.769,10 TL"
"06","19","12","59","https://www.hepsiburada.com/asus-x415ea-ek665-intel-core-i5-1135g7-8-gb-512-gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-p-HBCV00002UM82W?magaza=Vizyon%20Bilgisayar","https://productimages.hepsiburada.net/s/307/135/110000299151989.jpg","Asus X415EA EK665 Intel Core i5 1135G7 8 GB 512 GB SSD Freedos 14"" FHD Taşınabilir Bilgisayar","10.169,10 TL","","",""
"02","20","13","59","https://www.hepsiburada.com/dell-latitude-5420-intel-core-i7-1165g7-16gb-512gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-n028l542014emea1-p-HBCV000014T1R5?magaza=Vizyon%20Bilgisayar","https://productimages.hepsiburada.net/s/154/135/110000110346841.jpg","Dell Latitude 5420 Intel Core I7 1165G7 16GB 512GB SSD Freedos 14"" FHD Taşınabilir Bilgisayar N028L542014EMEA1","22.770,00 TL","","",""
"02","21","14","59","https://www.hepsiburada.com/msi-stealth-15m-b12ue-034xtr-intel-core-i7-1280p-16gb-1tb-ssd-rtx3060-freedos-15-6-fhd-tasinabilir-bilgisayar-p-HBCV00001TXB0W?magaza=Vizyon%20Bilgisayar","https://productimages.hepsiburada.net/s/191/135/110000158360412.jpg","MSI Stealth 15M B12UE-034XTR Intel Core i7 1280P 16GB 1TB SSD RTX3060 Freedos 15.6"" FHD Taşınabilir Bilgisayar","38.249,10 TL","","",""
"06","19","08","59","https://www.hepsiburada.com/lenovo-thinkbook-15-g3-acl-amd-ryzen-7-5700u-16-gb-512-gb-ssd-15-6-fhd-tasinabilir-bilgisayar-21a40036tx-p-HBCV000015KNH2?magaza=Vizyon%20Bilgisayar","https://productimages.hepsiburada.net/s/218/135/110000196422021.jpg","Lenovo ThinkBook 15 G3 ACL AMD Ryzen 7 5700U 16 GB 512 GB SSD 15.6"" FHD Taşınabilir Bilgisayar 21A40036TX","13.697,10 TL","","",""
"06","19","08","59","https://www.hepsiburada.com/lenovo-e15-intel-core-i5-1135g7-8gb-512gb-ssd-15-6-fhd-windows-10-pro-tasinabilir-bilgisayar-20td004atx-p-HBCV00000TOH06?magaza=Vizyon%20Bilgisayar","https://productimages.hepsiburada.net/s/129/135/110000079946155.jpg","Lenovo E15 Intel Core I5 1135G7 8GB 512GB SSD 15.6"" FHD Windows 10 Pro Taşınabilir Bilgisayar 20TD004ATX","18.899,10 TL","%","5","17.999,10 TL"
"06","19","08","59","https://www.hepsiburada.com/lenovo-thinkpad-e15-gen2-intel-core-i7-1165g7-8gb-256gb-ssd-freedos-15-6-ips-tasinabilir-bilgisayar-siyah-20tes29200-p-HBCV00000SH30V?magaza=Vizyon%20Bilgisayar","https://productimages.hepsiburada.net/s/127/135/110000077498970.jpg","Lenovo Thinkpad E15-GEN2 Intel Core i7 1165G7 8GB 256GB SSD Freedos 15.6"" IPS Taşınabilir Bilgisayar Siyah 20TES29200","17.999,10 TL","","",""
"05","19","59","59","https://www.hepsiburada.com/lenovo-ideapad-gaming-3-82k100cltx-intel-core-i7-11370h-16gb-1tb-256-ssd-rtx3050-15-6-fhd-freedos-tasinabilir-bilgisayar-p-HBCV0000276SAU?magaza=f%C4%B1rsat%20sepeti","https://productimages.hepsiburada.net/s/217/135/110000195945141.jpg","Lenovo Ideapad Gaming 3 82K100CLTX İntel Core i7 11370H 16GB 1TB+256 SSD RTX3050 15.6"" FHD Freedos Taşınabilir Bilgisayar","28.799,04 TL","","",""
